word,definition,category
migraine,Neurological headache disorder,Neurology
stroke,Sudden interruption of brain blood flow,Neurology
ischemia,Reduced blood supply,Neurology
hemorrhage,Bleeding within tissues,Neurology
paralysis,Loss of voluntary movement,Neurology
paresis,Partial loss of movement,Neurology
ataxia,Loss of coordination,Neurology
vertigo,Sensation of spinning movement,Neurology
tremor,Rhythmic involuntary movement,Neurology
spasticity,Increased muscle tone,Neurology
rigidity,Resistance to passive movement,Neurology
neuropathy,Disease of peripheral nerves,Neurology
myopathy,Disease affecting muscle tissue,Neurology
dementia,Progressive cognitive decline,Neurology
delirium,Acute disturbance of consciousness,Neurology
amnesia,Loss of memory,Neurology
parkinsonism,Movement disorder resembling Parkinson disease,Neurology
alzheimer,Neurodegenerative dementia disorder,Neurology
meningitis,Inflammation of the meninges,Neurology
encephalitis,Inflammation of the brain,Neurology
glioma,Tumor arising from glial cells,Neurology
neuroma,Tumor of nerve tissue,Neurology
hydrocephalus,Excess cerebrospinal fluid accumulation,Neurology
coma,State of prolonged unconsciousness,Neurology
syncope,Temporary loss of consciousness,Neurology
electroencephalography,Recording of brain electrical activity,Neurology
electromyography,Recording of muscle electrical activity,Neurology
neuroimaging,Imaging of nervous system structures,Neurology
rehabilitation,Restoration of neurological function,Neurology
clinicalmedicine,Practice of diagnosing and treating patients,Clinical Medicine
patient,Person receiving medical care,Clinical Medicine
diagnosis,Identification of a disease,Clinical Medicine
prognosis,Expected outcome of a disease,Clinical Medicine
therapy,Treatment intended to improve health,Clinical Medicine
treatment,Medical management of disease,Clinical Medicine
symptom,Subjective evidence of disease,Clinical Medicine
sign,Objective evidence of disease,Clinical Medicine
history,Record of patient information,Clinical Medicine
examination,Assessment of a patient,Clinical Medicine
inspection,Visual assessment of the patient,Clinical Medicine
palpation,Assessment by touch,Clinical Medicine
percussion,Tapping to assess body structures,Clinical Medicine
auscultation,Listening to internal body sounds,Clinical Medicine
vitalsigns,Basic physiological measurements,Clinical Medicine
temperature,Measurement of body heat,Clinical Medicine
pulse,Measurement of heart rate,Clinical Medicine
respiration,Measurement of breathing rate,Clinical Medicine
bloodpressure,Measurement of arterial pressure,Clinical Medicine
triage,Prioritization of patient care,Clinical Medicine
emergency,Urgent medical condition,Clinical Medicine
trauma,Physical injury to the body,Clinical Medicine
fracture,Broken bone,Clinical Medicine
dislocation,Displacement of a joint,Clinical Medicine
sprain,Ligament injury,Clinical Medicine
strain,Muscle or tendon injury,Clinical Medicine
wound,Break in tissue integrity,Clinical Medicine
laceration,Tear in soft tissue,Clinical Medicine
abrasion,Superficial skin injury,Clinical Medicine
contusion,Bruise caused by trauma,Clinical Medicine
hemorrhage,Significant bleeding,Clinical Medicine
shock,Circulatory failure causing hypoperfusion,Clinical Medicine
sepsis,Life threatening response to infection,Clinical Medicine
fever,Elevated body temperature,Clinical Medicine
dehydration,Loss of body fluids,Clinical Medicine
infection,Invasion by pathogens,Clinical Medicine
inflammation,Protective response to injury,Clinical Medicine
pain,Unpleasant sensory experience,Clinical Medicine
chronic,Long lasting condition,Clinical Medicine
acute,Sudden onset condition,Clinical Medicine
relapse,Return of disease after improvement,Clinical Medicine
remission,Reduction of disease activity,Clinical Medicine
screening,Testing before symptoms develop,Clinical Medicine
prevention,Measures reducing disease risk,Clinical Medicine
vaccination,Administration of vaccines,Clinical Medicine
immunization,Process of acquiring immunity,Clinical Medicine
consultation,Professional medical evaluation,Clinical Medicine
referral,Transfer to another specialist,Clinical Medicine
specialist,Physician with advanced training,Clinical Medicine
resident,Doctor in specialty training,Clinical Medicine
intern,Physician in initial training,Clinical Medicine
surgeon,Physician performing operations,Clinical Medicine
physician,Medical doctor,Clinical Medicine
nurse,Healthcare professional providing care,Clinical Medicine
pharmacist,Medication specialist,Clinical Medicine
radiologist,Physician interpreting imaging studies,Clinical Medicine
pathologist,Physician diagnosing disease from specimens,Clinical Medicine
anesthesiologist,Physician managing anesthesia,Clinical Medicine
cardiologist,Heart specialist physician,Clinical Medicine
neurologist,Nervous system specialist,Clinical Medicine
oncologist,Cancer specialist physician,Clinical Medicine
pediatrician,Child health specialist,Clinical Medicine
dermatologist,Skin disease specialist,Clinical Medicine
psychiatrist,Mental health specialist,Clinical Medicine
obstetrician,Pregnancy care specialist,Clinical Medicine
gynecologist,Female reproductive health specialist,Clinical Medicine
orthopedic,Bone and joint specialist,Clinical Medicine
urologist,Urinary tract specialist,Clinical Medicine
endocrinologist,Hormone specialist physician,Clinical Medicine
pulmonologist,Lung disease specialist,Clinical Medicine
nephrologist,Kidney specialist physician,Clinical Medicine
gastroenterologist,Digestive system specialist,Clinical Medicine
hematologist,Blood disease specialist,Clinical Medicine
rheumatologist,Autoimmune disease specialist,Clinical Medicine
oncology,Field dealing with cancer,Clinical Medicine
surgery,Treatment involving operative procedures,Clinical Medicine
anesthesia,Loss of sensation for procedures,Clinical Medicine
sedation,Reduced awareness during procedures,Clinical Medicine
intubation,Placement of airway tube,Clinical Medicine
ventilation,Mechanical support of breathing,Clinical Medicine
resuscitation,Restoration of vital functions,Clinical Medicine
cpr,Cardiopulmonary resuscitation technique,Clinical Medicine
defibrillation,Electrical correction of arrhythmias,Clinical Medicine
monitoring,Continuous assessment of patient status,Clinical Medicine
admission,Entry into hospital care,Clinical Medicine
discharge,Release from hospital care,Clinical Medicine
ward,Hospital patient care unit,Clinical Medicine
clinic,Outpatient medical facility,Clinical Medicine
hospital,Institution providing healthcare,Clinical Medicine
ambulance,Vehicle transporting patients,Clinical Medicine
paramedic,Provider of emergency care,Clinical Medicine
laboratory,Facility performing diagnostic tests,Clinical Medicine
specimen,Sample collected for testing,Clinical Medicine
biopsy,Removal of tissue for analysis,Clinical Medicine
cytology,Study of cells for diagnosis,Clinical Medicine
pathology,Study of disease,Clinical Medicine
radiography,X ray imaging technique,Clinical Medicine
ultrasound,Imaging using sound waves,Clinical Medicine
tomography,Cross sectional imaging method,Clinical Medicine
mri,Magnetic resonance imaging,Clinical Medicine
ctscan,Computed tomography imaging,Clinical Medicine
endoscopy,Internal examination with a scope,Clinical Medicine
colonoscopy,Endoscopic examination of the colon,Clinical Medicine
bronchoscopy,Endoscopic examination of airways,Clinical Medicine
laparoscopy,Minimally invasive abdominal procedure,Clinical Medicine
catheter,Flexible tube inserted into the body,Clinical Medicine
drainage,Removal of accumulated fluid,Clinical Medicine
transfusion,Transfer of blood products,Clinical Medicine
dialysis,Artificial blood filtration,Clinical Medicine
chemotherapy,Drug treatment for cancer,Clinical Medicine
radiotherapy,Treatment using ionizing radiation,Clinical Medicine
rehabilitation,Restoration of function after illness,Clinical Medicine
palliative,Care focused on symptom relief,Clinical Medicine
hospice,End of life supportive care,Clinical Medicine
nutrition,Provision of dietary support,Clinical Medicine
malnutrition,Deficiency of nutritional intake,Clinical Medicine
obesity,Excess body fat accumulation,Clinical Medicine
diabetes,Metabolic disease with high blood sugar,Clinical Medicine
hypertension,Elevated blood pressure,Clinical Medicine
asthma,Chronic inflammatory airway disease,Clinical Medicine
copd,Chronic obstructive pulmonary disease,Clinical Medicine
pneumonia,Infection of lung tissue,Clinical Medicine
tuberculosis,Chronic infectious disease,Clinical Medicine
hepatitis,Inflammation of the liver,Clinical Medicine
cirrhosis,Chronic liver scarring,Clinical Medicine
ulcer,Damage to a mucosal surface,Clinical Medicine
gastritis,Inflammation of the stomach,Clinical Medicine
arthritis,Inflammation of joints,Clinical Medicine
osteoporosis,Loss of bone density,Clinical Medicine
anemia,Deficiency of red blood cells,Clinical Medicine
leukemia,Cancer of blood forming tissues,Clinical Medicine
lymphoma,Cancer of lymphatic tissue,Clinical Medicine
stroke,Acute disruption of brain blood flow,Clinical Medicine
epilepsy,Disorder causing recurrent seizures,Clinical Medicine
migraine,Neurological headache disorder,Clinical Medicine
depression,Mood disorder with persistent sadness,Clinical Medicine
anxiety,State of excessive worry,Clinical Medicine
psychosis,Loss of contact with reality,Clinical Medicine
dementia,Progressive decline in cognition,Clinical Medicine
alzheimer,Common neurodegenerative dementia,Clinical Medicine
parkinson,Neurodegenerative movement disorder,Clinical Medicine
allergy,Hypersensitivity immune response,Clinical Medicine
anaphylaxis,Severe life threatening allergic reaction,Clinical Medicine
pregnancy,State of carrying a fetus,Clinical Medicine
delivery,Birth of a baby,Clinical Medicine
newborn,Infant immediately after birth,Clinical Medicine
mortality,Rate of death in a population,Clinical Medicine
morbidity,Rate of disease occurrence,Clinical Medicine
epidemic,Rapid increase in disease cases,Clinical Medicine
pandemic,Worldwide disease outbreak,Clinical Medicine
endemic,Disease consistently present in a region,Clinical Medicine
outcome,Result of treatment or disease,Clinical Medicine
followup,Ongoing patient reassessment,Clinical Medicine
recovery,Return to normal health,Clinical Medicine
healing,Restoration of tissue integrity,Clinical Medicine
